"CPC21code","CPC21partial","ISIC4code","ISIC4partial"
"21113",0,"1010",1
"21114",0,"1010",1
"21115",0,"1010",1
"21116",0,"1010",1
"21117",0,"1010",1
"21118",0,"1010",1
"21119",0,"1010",1
"21121",0,"1010",1
"21122",0,"1010",1
"21123",0,"1010",1
"21124",0,"1010",1
"21125",0,"1010",1
"21131",0,"1010",1
"21132",0,"1010",1
"21133",0,"1010",1
"21134",0,"1010",1
"21135",0,"1010",1
"21136",0,"1010",1
"21137",0,"1010",1
"21138",0,"1010",1
"21139",0,"1010",1
"21141",0,"1010",1
"21142",0,"1010",1
"21143",0,"1010",1
"21144",0,"1010",1
"21145",0,"1010",1
"21151",0,"1010",1
"21152",0,"1010",1
"21153",0,"1010",1
"21155",0,"1010",1
"21156",0,"1010",1
"21159",0,"1010",1
"21160",0,"1010",1
"21170",0,"1010",1
"21181",0,"1010",1
"21182",0,"1010",1
"21183",0,"1010",1
"21184",0,"1010",1
"21185",0,"1079",1
"21186",0,"1075",1
"21189",0,"1010",1
"21190",0,"1010",1
"21211",0,"1020",1
"21212",0,"1020",1
"21213",0,"1020",1
"21214",0,"1020",1
"21215",0,"1020",1
"21216",0,"1020",1
"21219",0,"1020",1
"21221",0,"1020",1
"21222",0,"1020",1
"21223",0,"1020",1
"21224",0,"1020",1
"21225",0,"1020",1
"21226",0,"1020",1
"21227",0,"1020",1
"21231",0,"1020",1
"21232",0,"1020",1
"21233",0,"1020",1
"21234",0,"1020",1
"21241",0,"1075",1
"21242",0,"1020",1
"21243",0,"1020",1
"21251",0,"1020",1
"21252",0,"1020",1
"21253",0,"1020",1
"21254",0,"1020",1
"21255",0,"1020",1
"21256",0,"1020",1
"21259",0,"1020",1
"21261",0,"1020",1
"21262",0,"1020",1
"21263",0,"1020",1
"21264",0,"1020",1
"21265",0,"1020",1
"21266",0,"1020",1
"21267",0,"1020",1
"21268",0,"1020",1
"21269",0,"1020",1
"21270",0,"1020",1
"21280",0,"1020",1
"21291",0,"1020",1
"21299",0,"1020",1
"21311",0,"1030",1
"21312",0,"1030",1
"21313",0,"1030",1
"21319",0,"1030",1
"21321",0,"1030",1
"21329",0,"1030",1
"21330",0,"1030",1
"21340",0,"1030",1
"21391",0,"1075",1
"21392",0,"1030",1
"21393",0,"1030",1
"21394",0,"1030",1
"21395",0,"1030",1
"21396",0,"1030",1
"21397",0,"1030",1
"21399",0,"1030",1
"21411",0,"1030",1
"21412",0,"1030",1
"21419",0,"1030",1
"21421",0,"1030",1
"21422",0,"1030",1
"21423",0,"1030",1
"21424",0,"1030",1
"21429",0,"1030",1
"21431",0,"1030",1
"21432",0,"1030",1
"21433",0,"1030",1
"21434",0,"1030",1
"21435",0,"1030",1
"21439",0,"1030",1
"21491",0,"1030",1
"21492",0,"1030",1
"21493",0,"1030",1
"21494",0,"1030",1
"21495",0,"1030",1
"21496",0,"1030",1
"21499",0,"1030",1
"21511",0,"1010",1
"21512",0,"1010",1
"21513",0,"1010",1
"21514",0,"1010",1
"21515",0,"1010",1
"21519",0,"1010",1
"21521",0,"1010",1
"21522",0,"1010",1
"21523",0,"1040",1
"21524",0,"1040",1
"21525",0,"1040",1
"21526",0,"1040",1
"21529",0,"1040",1
"21590",0,"1040",1
"21611",0,"1040",1
"21612",0,"1040",1
"21621",0,"1040",1
"21622",0,"1040",1
"21631",0,"1040",1
"21632",0,"1040",1
"21641",0,"1040",1
"21642",0,"1040",1
"21651",0,"1040",1
"21652",0,"1040",1
"21661",0,"1040",1
"21662",0,"1040",1
"21671",0,"1040",1
"21672",0,"1040",1
"21673",0,"1040",1
"21681",0,"1040",1
"21682",0,"1040",1
"21691",1,"1040",1
"21691",1,"1062",1
"21693",0,"1040",1
"21700",0,"1040",1
"21800",0,"1040",1
"21910",0,"1040",1
"21920",0,"1040",1
"21931",0,"1040",1
"21932",0,"1040",1
"22110",0,"1050",1
"22120",0,"1050",1
"22130",0,"1050",1
"22211",0,"1050",1
"22212",0,"1050",1
"22219",0,"1050",1
"22221",0,"1050",1
"22222",0,"1050",1
"22229",0,"1050",1
"22230",0,"1050",1
"22241",0,"1050",1
"22242",0,"1050",1
"22249",0,"1050",1
"22251",0,"1050",1
"22252",0,"1050",1
"22253",0,"1050",1
"22254",0,"1050",1
"22259",0,"1050",1
"22260",0,"1050",1
"22270",0,"1050",1
"22290",0,"1050",1
"22300",0,"1079",1
"23110",0,"1061",1
"23120",0,"1061",1
"23130",0,"1061",1
"23140",0,"1061",1
"23161",0,"1061",1
"23162",0,"1061",1
"23170",0,"1061",1
"23180",0,"1061",1
"23210",1,"1050",1
"23210",1,"1062",1
"23210",1,"1079",1
"23220",0,"1062",1
"23230",0,"1062",1
"23311",0,"1080",1
"23319",0,"1080",1
"23320",0,"1080",1
"23410",0,"1071",1
"23420",0,"1071",1
"23430",0,"1071",1
"23490",0,"1071",1
"23511",0,"1072",1
"23512",0,"1072",1
"23520",0,"1072",1
"23530",0,"1072",1
"23540",0,"1072",1
"23610",0,"1073",1
"23620",0,"1073",1
"23630",0,"1073",1
"23640",0,"1073",1
"23650",0,"1073",1
"23660",0,"1073",1
"23670",0,"1073",1
"23710",0,"1074",1
"23721",0,"1074",1
"23722",0,"1075",1
"23911",0,"1079",1
"23912",0,"1079",1
"23913",0,"1079",1
"23914",0,"1079",1
"23921",0,"1079",1
"23922",0,"1079",1
"23923",0,"1079",1
"23924",0,"1079",1
"23925",0,"1079",1
"23926",0,"1079",1
"23927",0,"1079",1
"23928",0,"1079",1
"23929",0,"1079",1
"23991",0,"1079",1
"23992",0,"1079",1
"23993",0,"1079",1
"23994",0,"1079",1
"23995",0,"1079",1
"23996",0,"1079",1
"23997",0,"1075",1
"23999",0,"1079",1
"24110",0,"2011",1
"24131",0,"1101",1
"24139",0,"1101",1
"24211",0,"1102",1
"24212",0,"1102",1
"24220",0,"1102",1
"24230",0,"1102",1
"24310",0,"1103",1
"24320",0,"1103",1
"24410",0,"1104",1
"24490",0,"1104",1
"25010",0,"1200",1
"25020",0,"1200",1
"25090",0,"1200",1
"26110",0,"1311",1
"26130",0,"1311",1
"26140",0,"1311",1
"26150",0,"1311",1
"26160",0,"1311",1
"26170",0,"1311",1
"26190",0,"1311",1
"26210",0,"1311",1
"26220",0,"1311",1
"26310",0,"1311",1
"26320",0,"1311",1
"26330",0,"1311",1
"26340",0,"1311",1
"26350",0,"1311",1
"26360",0,"1311",1
"26370",0,"1311",1
"26380",0,"1311",1
"26410",0,"1311",1
"26421",0,"1311",1
"26422",0,"1311",1
"26430",0,"1311",1
"26440",0,"1311",1
"26450",0,"1311",1
"26461",0,"1311",1
"26462",0,"1311",1
"26510",0,"1312",1
"26520",0,"1312",1
"26530",0,"1312",1
"26540",0,"1312",1
"26550",0,"1312",1
"26560",0,"1312",1
"26570",0,"1312",1
"26590",0,"1312",1
"26610",0,"1312",1
"26620",0,"1312",1
"26630",0,"1312",1
"26690",0,"1312",1
"26710",0,"1312",1
"26720",0,"1312",1
"26730",0,"1312",1
"26740",0,"1312",1
"26750",0,"1312",1
"26760",0,"1312",1
"26770",0,"1312",1
"26790",0,"1312",1
"26810",0,"1312",1
"26820",0,"1312",1
"26830",0,"1312",1
"26840",0,"1312",1
"26850",0,"1312",1
